Driver,QualifyingPosition,GridPosition,Team,TrackType,GlobalRound,TrackTypeIdx,TierCode,DriverIdx,Recent5Avg,CumDNFRate
M VERSTAPPEN,1,1,Red Bull Racing,high_speed,1,0,0,16,1.8,0.0416666666666666
L NORRIS,2,2,McLaren,high_speed,1,0,0,14,2.0,0.125
O PIASTRI,3,3,McLaren,high_speed,1,0,0,19,4.25,0.0833333333333333
G RUSSELL,4,4,Mercedes,high_speed,1,0,0,8,5.0,0.0416666666666666
C LECLERC,5,5,Ferrari,high_speed,1,0,1,2,4.25,0.125
F ALONSO,6,6,Aston Martin,high_speed,1,0,2,5,10.5,0.2916666666666666
G BORTOLETO,7,7,Kick Sauber,high_speed,1,0,2,7,11.5,0.5416666666666667
E OCON,8,8,Haas F1 Team,high_speed,1,0,2,4,11.25,0.375
I HADJAR,9,9,Racing Bulls,high_speed,1,0,2,9,10.0,0.4583333333333333
Y TSUNODA,10,10,Red Bull Racing,high_speed,1,0,0,21,11.4,0.375
O BEARMAN,11,11,Haas F1 Team,high_speed,1,0,2,18,7.25,0.25
C SAINZ,12,12,Williams,high_speed,1,0,1,3,7.0,0.4166666666666666
L LAWSON,13,13,Racing Bulls,high_speed,1,0,2,13,9.0,0.375
K ANTONELLI,14,14,Mercedes,high_speed,1,0,0,11,5.8,0.2608695652173913
L STROLL,15,15,Aston Martin,high_speed,1,0,2,15,14.0,0.5217391304347826
L HAMILTON,16,16,Ferrari,high_speed,1,0,1,12,8.0,0.1666666666666666
A ALBON,17,17,Williams,high_speed,1,0,1,0,12.0,0.375
N HULKENBERG,18,18,Kick Sauber,high_speed,1,0,2,17,8.0,0.5
P GASLY,19,19,Alpine,high_speed,1,0,2,20,11.5,0.5416666666666667
F COLAPINTO,20,20,Alpine,high_speed,1,0,2,6,15.0,0.7222222222222222
