PredictedRank,Driver,Mode,Mean,Median,Q25,P_Win,P_Top5,P_Top10
1,O PIASTRI,2,3.703279999999999,3,2,0.234454,0.840824,0.9671379999999999
2,L NORRIS,2,4.645798,4,2,0.17826,0.738548,0.9304720000000001
3,M VERSTAPPEN,2,5.513426000000001,4,2,0.138444,0.64227,0.8865520000000001
4,G RUSSELL,4,6.3562199999999995,5,3,0.108524,0.548914,0.836238
5,K ANTONELLI,5,7.200343999999999,6,3,0.084066,0.45977599999999996,0.780248
6,P GASLY,6,10.117481999999999,10,6,0.028666,0.199324,0.544092
7,F ALONSO,7,9.466064,9,6,0.037532,0.249736,0.601366
8,C LECLERC,8,10.704771999999998,11,7,0.021338,0.15890200000000002,0.492104
9,I HADJAR,10,8.000891999999999,7,4,0.064614,0.379876,0.720402
10,C SAINZ,10,8.760922,8,5,0.049532,0.30857,0.6609400000000001
11,N HULKENBERG,12,11.262736000000002,11,7,0.016072,0.124052,0.44108600000000003
12,L LAWSON,12,11.768024,12,8,0.01169,0.09752400000000001,0.395286
13,O BEARMAN,13,12.266284,13,9,0.008744,0.075602,0.351482
14,G BORTOLETO,13,12.717521999999999,13,9,0.006528,0.057462,0.312236
15,A ALBON,14,13.185902,14,10,0.004498,0.042178,0.273572
16,Y TSUNODA,17,13.665279999999997,14,11,0.003086,0.030761999999999998,0.235842
17,E OCON,19,14.144758000000001,15,11,0.001998,0.021352000000000003,0.201052
18,L HAMILTON,19,14.725325999999999,15,12,0.001156,0.013596,0.163654
19,L STROLL,20,15.407158000000003,16,13,0.000638,0.007718000000000001,0.125288
20,F COLAPINTO,20,16.387809999999998,17,14,0.00016,0.003014,0.08094999999999998
