Driver,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
O PIASTRI,0.453,0.07725,0.075625,0.070375,0.064875,0.05825,0.05025,0.04475,0.031625,0.024875,0.01775,0.0115,0.008875,0.00375,0.00375,0.00175,0.00075,0.000625,0.000375,0.0
L NORRIS,0.4735,0.076125,0.0735,0.074125,0.066375,0.060875,0.0485,0.038,0.026875,0.021125,0.01475,0.009,0.007625,0.00325,0.002,0.002125,0.001375,0.000125,0.000375,0.000375
M VERSTAPPEN,0.57175,0.078875,0.069625,0.061875,0.055875,0.046625,0.03525,0.025625,0.0175,0.011625,0.0095,0.00575,0.004,0.0025,0.00175,0.000625,0.001,0.0,0.000125,0.000125
G RUSSELL,0.207,0.059625,0.072625,0.075875,0.073875,0.07875,0.07925,0.067625,0.063625,0.055125,0.045875,0.03325,0.027125,0.01975,0.016875,0.00925,0.00625,0.0035,0.0015,0.00325
K ANTONELLI,0.195625,0.059875,0.064875,0.077125,0.0755,0.081875,0.074375,0.075875,0.062875,0.05375,0.047625,0.036125,0.031375,0.019125,0.016,0.012625,0.005375,0.004875,0.00125,0.003875
I HADJAR,0.145875,0.04775,0.057625,0.070125,0.07675,0.077875,0.0755,0.079875,0.069,0.066875,0.055375,0.046125,0.03825,0.029375,0.021625,0.016375,0.00775,0.007375,0.00475,0.00575
C SAINZ,0.137625,0.049,0.0575,0.06525,0.072375,0.07875,0.082375,0.07775,0.07275,0.065,0.0575,0.04575,0.042375,0.0295,0.02175,0.01625,0.0085,0.0085,0.0045,0.007
F ALONSO,0.281,0.07225,0.073625,0.0755,0.08225,0.06825,0.068625,0.058125,0.052125,0.0435,0.035125,0.0275,0.019625,0.0145,0.0115,0.007125,0.003125,0.00275,0.001375,0.002125
P GASLY,0.126625,0.04275,0.05375,0.063125,0.065875,0.0715,0.072875,0.077,0.077,0.06775,0.06,0.053,0.043125,0.0355,0.02625,0.018625,0.01475,0.010125,0.00825,0.012125
C LECLERC,0.358375,0.074875,0.0745,0.07775,0.074125,0.067,0.06225,0.052375,0.045375,0.03275,0.026375,0.018875,0.012375,0.00875,0.00575,0.004375,0.001875,0.001125,0.000625,0.0005
N HULKENBERG,0.1025,0.036625,0.047625,0.056,0.064125,0.072125,0.07475,0.0775,0.078125,0.069125,0.065875,0.05575,0.04975,0.0385,0.03275,0.024625,0.018125,0.013375,0.0075,0.01525
L LAWSON,0.132625,0.04525,0.054875,0.066625,0.071875,0.06675,0.071,0.07575,0.072875,0.064875,0.05725,0.053,0.0425,0.036875,0.02575,0.020625,0.0155,0.010125,0.006125,0.00975
O BEARMAN,0.12625,0.040375,0.054,0.056625,0.065875,0.074625,0.079875,0.077125,0.07775,0.066375,0.057875,0.051875,0.040375,0.0345,0.027875,0.022375,0.015625,0.012375,0.005875,0.012375
G BORTOLETO,0.057375,0.023,0.029625,0.0435,0.046375,0.05675,0.059875,0.068125,0.06725,0.0735,0.071,0.066875,0.067875,0.057875,0.051875,0.039375,0.034,0.023625,0.020625,0.0415
A ALBON,0.091375,0.0365,0.044375,0.05175,0.063875,0.067625,0.072875,0.071125,0.077875,0.074375,0.064875,0.06075,0.054375,0.04375,0.033375,0.030625,0.01775,0.013375,0.01075,0.018625
Y TSUNODA,0.213625,0.06,0.062125,0.072,0.07075,0.07325,0.0735,0.07225,0.061625,0.052375,0.04575,0.03575,0.028375,0.022625,0.01675,0.01275,0.011,0.00675,0.00375,0.005
E OCON,0.082875,0.032375,0.041125,0.051875,0.05475,0.0625,0.067625,0.064875,0.0725,0.07225,0.07325,0.061625,0.053875,0.04775,0.042125,0.0355,0.025625,0.015,0.013,0.0295
L HAMILTON,0.3225,0.063375,0.071875,0.075375,0.072875,0.07425,0.06225,0.05575,0.0495,0.044125,0.03075,0.021625,0.0175,0.013125,0.00875,0.006375,0.002875,0.00325,0.001625,0.00225
L STROLL,0.141625,0.0475,0.05475,0.059625,0.06425,0.068,0.069,0.07375,0.0685,0.062375,0.05825,0.050875,0.04425,0.035375,0.030625,0.020875,0.014375,0.011875,0.00925,0.014875
F COLAPINTO,0.08175,0.0295,0.0375,0.043,0.052875,0.0615,0.064125,0.069875,0.0735,0.066,0.066625,0.0625,0.059,0.053375,0.043125,0.0365,0.027875,0.022875,0.016625,0.031875
