PredictedRank,Driver,Mean,Median,Mode,P_Win,P_Top3,P_Top5,P_Top10,P_Podium,P_Points,Q25,Q75,CI_2.5,CI_97.5,Entropy,ActualRank,RankDiff,AbsError
1,M VERSTAPPEN,3.4172,3,1,0.239902,0.634022,0.8884879999999999,0.961938,0.634022,0.961938,2,4,1,12,1.9712956575673637,1,0,0
2,L NORRIS,4.332834,3,1,0.18625,0.532426,0.78766,0.918906,0.532426,0.918906,2,5,1,14,2.256254567511219,3,-1,1
3,O PIASTRI,5.288407999999999,4,2,0.145638,0.4359099999999999,0.680142,0.8677779999999999,0.4359099999999999,0.8677779999999999,2,7,1,16,2.4803521552472096,2,1,1
4,G RUSSELL,6.282589999999999,5,3,0.112146,0.3470499999999999,0.568608,0.80972,0.3470499999999999,0.80972,3,10,1,17,2.6541590272953903,5,-1,1
5,C LECLERC,7.288670000000001,6,5,0.083504,0.266594,0.459386,0.746354,0.266594,0.746354,3,11,1,17,2.7792957731023007,4,1,1
6,F ALONSO,8.207728,7,5,0.062146,0.201318,0.3641419999999999,0.68214,0.201318,0.68214,4,12,1,18,2.856401507687562,6,0,0
7,I HADJAR,10.290442,10,6,0.025336,0.086366,0.178058,0.525236,0.086366,0.525236,6,14,1,19,2.9163640967367033,17,-10,10
8,Y TSUNODA,10.824124,11,7,0.018734,0.065098,0.140534,0.4836000000000001,0.065098,0.4836000000000001,7,15,2,19,2.910111625368085,14,-6,6
9,C SAINZ,11.784004,12,9,0.01022,0.036354,0.0854579999999999,0.405762,0.036354,0.405762,8,16,3,20,2.879490656545529,13,-4,4
10,G BORTOLETO,9.005408000000001,9,10,0.045586,0.150214,0.286606,0.625158,0.150214,0.625158,5,13,1,18,2.8963220130203116,11,-1,1
11,E OCON,9.697489999999998,10,10,0.034172,0.113838,0.2259379999999999,0.571876,0.113838,0.571876,6,14,1,19,2.914019280408062,7,4,4
12,L LAWSON,12.225986,12,13,0.007454,0.0268419999999999,0.066412,0.370162,0.0268419999999999,0.370162,8,16,3,20,2.8582392013073212,18,-6,6
13,K ANTONELLI,12.66823,13,13,0.005316,0.019442,0.050932,0.335866,0.019442,0.335866,9,17,4,20,2.832242223495669,15,-2,2
14,O BEARMAN,11.315783999999995,11,14,0.01397,0.0488139999999999,0.11015,0.443144,0.0488139999999999,0.443144,8,15,2,20,2.8973787099304715,12,2,2
15,L STROLL,13.104912,13,15,0.00384,0.013816,0.038006,0.303116,0.013816,0.303116,9,17,5,20,2.7997218069609984,10,5,5
16,L HAMILTON,13.579908,14,18,0.002604,0.009534,0.027578,0.267966,0.009534,0.267966,10,17,5,20,2.758817286312962,8,8,8
17,A ALBON,14.104578,15,19,0.00167,0.006242,0.01932,0.232038,0.006242,0.232038,11,18,6,20,2.7050957293115965,16,1,1
18,N HULKENBERG,14.690962,15,20,0.000924,0.003726,0.012602,0.195262,0.003726,0.195262,11,18,6,20,2.6293909807428815,9,9,9
19,P GASLY,15.421368,17,20,0.00045,0.001712,0.0069559999999999,0.152662,0.001712,0.152662,13,19,7,20,2.509142801198166,19,0,0
20,F COLAPINTO,16.469374,18,20,0.000138,0.000682,0.0030239999999999,0.101316,0.000682,0.101316,15,20,7,20,2.2792671986859903,20,0,0
