PredictedRank,Driver,MeanPoints,MedianPoints,P_TopPoints,P_AnyPoints
1,O PIASTRI,15.19896,15.0,0.5837,0.96724
2,L NORRIS,13.13268,12.0,0.47221,0.93045
3,M VERSTAPPEN,11.45547,12.0,0.39622,0.88531
4,G RUSSELL,9.88365,10.0,0.32208,0.83449
5,K ANTONELLI,8.53721,8.0,0.26474,0.77897
6,I HADJAR,7.29507,6.0,0.21255,0.72191
7,C SAINZ,6.24434,4.0,0.17194,0.66169
8,F ALONSO,5.29208,2.0,0.13617,0.6006
9,P GASLY,4.47678,1.0,0.10762,0.54594
10,C LECLERC,3.80856,0.0,0.08533,0.49305
11,N HULKENBERG,3.1966,0.0,0.0667,0.43821
12,L LAWSON,2.69235,0.0,0.05085,0.39392
13,O BEARMAN,2.28949,0.0,0.03968,0.35339
14,G BORTOLETO,1.92302,0.0,0.03027,0.31279
15,A ALBON,1.59228,0.0,0.02238,0.27463
16,Y TSUNODA,1.293,0.0,0.0157,0.2381
17,E OCON,1.01727,0.0,0.01012,0.19928
18,L HAMILTON,0.78311,0.0,0.0064,0.16431
19,L STROLL,0.54862,0.0,0.00346,0.12288
20,F COLAPINTO,0.33946,0.0,0.00188,0.08284
