PredictedRank,Driver,Mode,Mean,Median,AvgPoints,MedianPoints,P_Top10,P_Top5,P_Top3,PositionStd,StabilityScore,Mode_Score,Mean_Score,Points_Score,Top10_Score,Top5_Score,Stability_NormScore,CompositeScore
1,O PIASTRI,2,3.7101839999999995,3,15.16816,15.0,0.967,0.83993,0.581022,3.117729091204686,0.23483817866150433,94.73684210526315,100.0,100.0,100.0,100.0,100.0,98.15789473684211
2,L NORRIS,2,4.6405080000000005,4,13.131866,12.0,0.9304380000000001,0.7396780000000001,0.474018,3.757449866855977,0.1955749458301475,94.73684210526315,92.66510422095291,86.2760155293175,95.87732789687571,88.02048605385357,81.9555740916079,92.26738444545867
3,M VERSTAPPEN,1,5.509578,4,11.443494,12.0,0.8868619999999999,0.6428659999999999,0.391468,4.214524915327468,0.17007532122306596,100.0,85.81314955279812,74.89691648530167,90.96376847546152,76.45203151774128,70.2365674349063,89.18390296892603
4,G RUSSELL,4,6.372294,5,9.91868,10.0,0.8357820000000001,0.5484100000000001,0.323504,4.5685926911428645,0.15008854954131495,84.21052631578947,79.01129133252608,64.62014718937523,85.20407012669534,65.16510487989657,61.05113376701742,78.96563743322673
5,K ANTONELLI,5,7.209296000000001,6,8.552458,8.0,0.77918,0.45954399999999995,0.264968,4.810875511212486,0.13408994883757505,78.94736842105263,72.41216840669166,55.412238355235964,78.82171997131427,54.54614978335734,53.69856638479128,72.64483949701581
6,I HADJAR,10,7.993173999999999,7,7.311512,6.0,0.720748,0.381192,0.21499200000000002,4.952632775173624,0.12108054153886177,52.63157894736842,66.23188773728205,47.048650566362866,72.2330219698439,45.18355475574228,47.719759516747274,59.23608212732657
7,F ALONSO,7,9.450164,9,5.301158,2.0,0.6029140000000001,0.250148,0.136936,5.035739108919762,0.0998906661006933,68.42105263157895,54.744631898333694,33.49949357990883,58.94625033263725,29.52458111373201,37.98140865311883,57.005043360841945
8,P GASLY,6,10.108236,10,4.484968,1.0,0.545068,0.20008599999999999,0.10852,5.012512839714628,0.09065560682043726,73.68421052631578,49.556235667440944,27.998628338874703,52.42362874526979,23.542471757589663,33.73720024425076,55.2671394575975
9,C SAINZ,10,8.77021,8,6.239894,4.0,0.6594720000000001,0.308078,0.17212,5.027157303675706,0.10941675598840207,52.63157894736842,60.105551023870774,39.82628052033619,65.32363911904129,36.44686937631294,42.35936764375408,55.11829178869334
10,C LECLERC,8,10.707397999999998,11,3.808058,0.0,0.4916399999999999,0.158476,0.084874,4.955154696838031,0.08255704931746655,63.1578947368421,44.832299893704715,23.43646672171643,46.399173706548545,18.57032581238006,30.015300383001918,48.34563495680893
11,N HULKENBERG,8,11.255690000000001,11,3.217698,0.0,0.44194,0.12445999999999999,0.06663,4.877158662981961,0.07519620029719733,63.1578947368421,40.50943530407218,19.457625025914098,40.79508193024316,14.50561741362375,26.632433380185162,45.37366695959344
12,L LAWSON,12,11.763592,12,2.71436,0.0,0.39573200000000003,0.0977,0.051302,4.786068037286557,0.06839394169750951,42.10526315789473,36.50501508491246,16.065284383794452,35.58474243729506,11.307957584404596,23.506280935250377,35.26323709104669
13,O BEARMAN,13,12.252354,13,2.273738,0.0,0.35297999999999996,0.074448,0.039272,4.68699044789767,0.062067978350568064,36.84210526315789,32.6514991799604,13.095629959904254,30.764095925814,8.52948275820864,20.59902219261504,30.860695486438313
14,A ALBON,14,13.193226000000001,14,1.56942,0.0,0.27334,0.04216,0.021622000000000002,4.488122292554427,0.04980574145930245,31.57894736842105,25.23344045910232,8.348746997806366,21.78401807742442,4.671260016585769,14.963596653256861,24.207301038002786
15,G BORTOLETO,16,12.717959999999998,13,1.889086,0.0,0.31153,0.05716,0.030186,4.588469618336815,0.05574513619575057,21.052631578947366,28.98055068879069,10.503195824844697,26.090260832698124,6.463670234757942,17.69319787389146,22.8662358708902
16,Y TSUNODA,17,13.657575999999999,14,1.285226,0.0,0.23704200000000003,0.0308,0.015924,4.38325151049127,0.044033238933390985,15.789473684210526,21.57239457078761,6.433368352747676,17.691114188162178,3.3138080113567114,12.31069502943466,16.43184592272433
17,E OCON,19,14.161192,15,1.019556,0.0,0.19961399999999999,0.020856,0.010542,4.260777527533678,0.03794382084307254,5.263157894736842,17.60176619544679,4.6428356721395625,13.470793322899425,2.125559530723106,9.51214672782308,10.38912062575255
18,L HAMILTON,19,14.725266000000001,15,0.784462,0.0,0.16363999999999998,0.0132,0.006616,4.131776280154093,0.031887594288324335,5.263157894736842,13.154472562615421,3.058375665308215,9.414423150649712,1.2107133553680296,6.728852447879949,7.98885221379081
19,L STROLL,20,15.408384,16,0.55553,0.0,0.12493,0.0077399999999999995,0.003886,3.9618443316899765,0.025178137734411663,0.0,7.768607708230213,1.5154456105900431,5.049546034738604,0.558276035953359,3.645349563828991,3.4386827654345447
20,F COLAPINTO,20,16.393718,17,0.330676,0.0,0.080148,0.003068,0.001598,3.6472987451641523,0.017246147578396966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
